stateHash,stateValue
<SimWorld.SAP object at 0x0000018424470148>,-0.39897025510921025
<SimWorld.SAP object at 0x00000184244A5EC8>,-0.4477780640956344
<SimWorld.SAP object at 0x0000018424470188>,-0.5025567498267501
<SimWorld.SAP object at 0x000001842449C788>,-0.5640367562589788
<SimWorld.SAP object at 0x0000018424493088>,-0.6330378858125464
<SimWorld.SAP object at 0x0000018424480388>,-0.7104802309905122
<SimWorld.SAP object at 0x0000018424484E48>,-0.7973964433114615
<SimWorld.SAP object at 0x000001842447A948>,-0.8949455031554001
<SimWorld.SAP object at 0x0000018424901448>,-1.0044281741362515
<SimWorld.SAP object at 0x0000018424900C48>,-1.1273043480766012
<SimWorld.SAP object at 0x00000184248F6988>,-1.2652125118704836
<SimWorld.SAP object at 0x000001842490C4C8>,-1.4199915958142353
<SimWorld.SAP object at 0x000001842490FF88>,-1.5937054947410048
<SimWorld.SAP object at 0x0000018424916A88>,-1.78867058893491
<SimWorld.SAP object at 0x0000018424920588>,-2.0074866318012456
<SimWorld.SAP object at 0x0000018424922D88>,-2.253071416163014
<SimWorld.SAP object at 0x000001842492CB48>,-2.5286996814399707
<SimWorld.SAP object at 0x0000018423265648>,-2.838046780516241
<SimWorld.SAP object at 0x0000018423269E48>,-3.1852376885704166
<SimWorld.SAP object at 0x0000018423271D08>,-3.574902007374205
<SimWorld.SAP object at 0x0000018423279808>,-4.012235698512014
<SimWorld.SAP object at 0x000001842327EF08>,-4.503070368700352
<SimWorld.SAP object at 0x0000018423285CC8>,-5.05395103108906
<SimWorld.SAP object at 0x000001842328D7C8>,-5.672223379449001
<SimWorld.SAP object at 0x00000184232842C8>,-6.366131739000001
<SimWorld.SAP object at 0x0000018423298D88>,-7.144929
<SimWorld.SAP object at 0x00000184232A45C8>,-8.019
<SimWorld.SAP object at 0x00000184232AE0C8>,-9.0
<SimWorld.SAP object at 0x00000184121EE508>,-0.3554824973023064
<SimWorld.SAP object at 0x00000184232C0D48>,-0.39897025510921025
<SimWorld.SAP object at 0x00000184232C0F08>,-0.4477780640956344
<SimWorld.SAP object at 0x00000184232C9F48>,-0.5025567498267501
<SimWorld.SAP object at 0x00000184232D3D08>,-0.5640367562589788
<SimWorld.SAP object at 0x00000184232DD848>,-0.6330378858125464
<SimWorld.SAP object at 0x00000184232E0348>,-0.7104802309905122
<SimWorld.SAP object at 0x00000184232E7E08>,-0.7973964433114615
<SimWorld.SAP object at 0x00000184232F18C8>,-0.8949455031554001
<SimWorld.SAP object at 0x00000184232F1908>,-1.0044281741362515
<SimWorld.SAP object at 0x00000184232EFE88>,-1.1273043480766012
<SimWorld.SAP object at 0x0000018423305988>,-1.2652125118704836
<SimWorld.SAP object at 0x000001842330E488>,-1.4199915958142353
<SimWorld.SAP object at 0x0000018423303F48>,-1.5937054947410048
<SimWorld.SAP object at 0x000001842331AA48>,-1.78867058893491
<SimWorld.SAP object at 0x0000018423322548>,-2.0074866318012456
<SimWorld.SAP object at 0x0000018423320D48>,-2.253071416163014
<SimWorld.SAP object at 0x000001842332B908>,-2.5286996814399707
<SimWorld.SAP object at 0x000001842332BA88>,-2.838046780516241
<SimWorld.SAP object at 0x000001842332FF48>,-3.1852376885704166
<SimWorld.SAP object at 0x0000018423333EC8>,-3.574902007374205
<SimWorld.SAP object at 0x000001842333CE48>,-4.012235698512014
<SimWorld.SAP object at 0x0000018423341DC8>,-4.503070368700352
<SimWorld.SAP object at 0x0000018423348D48>,-5.05395103108906
<SimWorld.SAP object at 0x000001842334ECC8>,-5.672223379449001
<SimWorld.SAP object at 0x0000018423354C48>,-6.366131739000001
<SimWorld.SAP object at 0x000001842335BBC8>,-7.144929
<SimWorld.SAP object at 0x0000018423360B48>,-8.019
<SimWorld.SAP object at 0x0000018423367AC8>,-9.0
<SimWorld.SAP object at 0x00000184232B1048>,-0.39897025510921025
<SimWorld.SAP object at 0x0000018422976988>,-0.4477780640956344
<SimWorld.SAP object at 0x0000018423385408>,-0.5025567498267501
<SimWorld.SAP object at 0x00000184233857C8>,-0.5640367562589788
<SimWorld.SAP object at 0x0000018423384B08>,-0.6330378858125464
<SimWorld.SAP object at 0x000001842339E5C8>,-0.7104802309905122
<SimWorld.SAP object at 0x000001842339EB08>,-0.7973964433114615
<SimWorld.SAP object at 0x00000184233A59C8>,-0.8949455031554001
<SimWorld.SAP object at 0x00000184233AA948>,-1.0044281741362515
<SimWorld.SAP object at 0x00000184233B1308>,-1.1273043480766012
<SimWorld.SAP object at 0x00000184233B77C8>,-1.2652125118704836
<SimWorld.SAP object at 0x00000184233BD708>,-1.4199915958142353
<SimWorld.SAP object at 0x00000184233C4688>,-1.5937054947410048
<SimWorld.SAP object at 0x00000184233C9E08>,-1.78867058893491
<SimWorld.SAP object at 0x00000184233D1D88>,-2.0074866318012456
<SimWorld.SAP object at 0x00000184233D8F88>,-2.253071416163014
<SimWorld.SAP object at 0x00000184233DEF08>,-2.5286996814399707
<SimWorld.SAP object at 0x00000184243B5E08>,-2.838046780516241
<SimWorld.SAP object at 0x00000184233DDD88>,-3.1852376885704166
<SimWorld.SAP object at 0x00000184243BFF48>,-3.574902007374205
<SimWorld.SAP object at 0x00000184243B9FC8>,-4.012235698512014
<SimWorld.SAP object at 0x00000184243CEF48>,-4.503070368700352
<SimWorld.SAP object at 0x00000184243C3EC8>,-5.05395103108906
<SimWorld.SAP object at 0x00000184243C3FC8>,-5.672223379449001
<SimWorld.SAP object at 0x00000184243DAF48>,-6.366131739000001
<SimWorld.SAP object at 0x00000184243E2F88>,-7.144929
<SimWorld.SAP object at 0x00000184243E1FC8>,-8.019
<SimWorld.SAP object at 0x00000184243EEF48>,-9.0
<SimWorld.SAP object at 0x0000018423375908>,-0.31673490509635494
<SimWorld.SAP object at 0x0000018423369808>,-0.3554824973023064
<SimWorld.SAP object at 0x000001842440A288>,-0.39897025510921025
<SimWorld.SAP object at 0x0000018424417708>,-0.4477780640956344
<SimWorld.SAP object at 0x00000184244168C8>,-0.5025567498267501
<SimWorld.SAP object at 0x0000018424420848>,-0.5640367562589788
<SimWorld.SAP object at 0x0000018424429848>,-0.6330378858125464
<SimWorld.SAP object at 0x0000018424429E48>,-0.7104802309905122
<SimWorld.SAP object at 0x0000018424431D48>,-0.7973964433114615
<SimWorld.SAP object at 0x0000018424437708>,-0.8949455031554001
<SimWorld.SAP object at 0x000001842443CBC8>,-1.0044281741362515
<SimWorld.SAP object at 0x0000018424442B88>,-1.1273043480766012
<SimWorld.SAP object at 0x000001842443E888>,-1.2652125118704836
<SimWorld.SAP object at 0x0000018424444A88>,-1.4199915958142353
<SimWorld.SAP object at 0x0000018424455A08>,-1.5937054947410048
