stateHash,stateValue
"[[1], [0, 0], [0, 0, 1], [1, 0, 0, 1], [0, 1, 1], [0, 1], [1]]",-1.1172018735703886
"[[1], [0, 1], [0, 0, 0], [1, 0, 0, 0], [0, 1, 1], [0, 1], [1]]",-6.7893167413255
"[[1], [0, 1], [0, 0, 0], [1, 1, 0, 0], [0, 0, 1], [0, 0], [1]]",-4.116023190155708
"[[1], [0, 1], [0, 0, 0], [0, 0, 1, 0], [0, 0, 1], [0, 0], [1]]",-6.934864023814838
"[[0], [0, 0], [0, 0, 1], [0, 0, 1, 0], [0, 0, 1], [0, 0], [1]]",-8.289999996568117
"[[0], [0, 0], [0, 0, 0], [0, 0, 0, 0], [0, 1, 1], [0, 0], [1]]",-9.099999999999486
"[[0], [0, 0], [0, 0, 0], [0, 0, 0, 0], [1, 0, 0], [0, 0], [1]]",-9.999999999999998
"[[0], [1, 1], [0, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]",1.7960524111619007
"[[0], [1, 1], [1, 1, 1], [1, 0, 1, 1], [1, 0, 1], [1, 1], [1]]",-0.4606773281224887
"[[0], [1, 0], [1, 0, 1], [1, 1, 1, 1], [1, 0, 1], [1, 1], [1]]",-0.2689203990189802
"[[1], [0, 0], [0, 0, 1], [1, 1, 1, 1], [1, 0, 1], [1, 1], [1]]",-0.6162580358817458
"[[1], [0, 0], [0, 1, 1], [1, 1, 0, 1], [1, 0, 0], [1, 1], [1]]",-0.1095451098486019
"[[1], [0, 0], [1, 0, 0], [1, 1, 0, 1], [1, 0, 0], [1, 1], [1]]",-0.20614235113782048
"[[1], [0, 0], [0, 0, 0], [1, 0, 0, 1], [1, 1, 0], [1, 1], [1]]",-5.705696828298044
"[[1], [0, 0], [0, 0, 0], [1, 1, 0, 1], [1, 0, 0], [1, 0], [1]]",-0.3849743261259
"[[1], [0, 0], [0, 0, 0], [0, 0, 1, 1], [1, 0, 0], [1, 0], [1]]",-1.8656545607100001
"[[1], [0, 0], [0, 0, 0], [0, 1, 0, 0], [1, 0, 0], [1, 0], [1]]",-7.479605879999999
"[[1], [0, 0], [0, 0, 0], [1, 1, 0, 0], [0, 0, 0], [0, 0], [1]]",-9.09999999842082
"[[1], [0, 0], [0, 0, 0], [0, 0, 1, 0], [0, 0, 0], [0, 0], [1]]",-9.99999999999999
"[[1], [1, 1], [0, 1, 1], [1, 1, 1, 1], [1, 0, 1], [1, 1], [1]]",1.7960524111619007
"[[1], [1, 1], [1, 0, 0], [1, 1, 1, 1], [1, 0, 1], [1, 1], [1]]",2.1067249012910008
"[[0], [1, 0], [0, 0, 1], [1, 0, 1, 1], [1, 1, 1], [1, 1], [1]]",-0.20718489512659063
"[[0], [1, 1], [0, 0, 0], [1, 0, 1, 0], [1, 1, 1], [1, 1], [1]]",-0.7670828678988197
"[[0], [1, 1], [0, 0, 1], [1, 0, 0, 0], [1, 0, 1], [1, 1], [1]]",-0.19425208809083305
"[[0], [1, 0], [0, 0, 0], [1, 0, 0, 1], [1, 0, 1], [1, 1], [1]]",-9.9
"[[1], [0, 1], [1, 1, 0], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]",1.7960524111619007
"[[1], [1, 1], [0, 1, 0], [0, 1, 1, 1], [1, 1, 1], [1, 1], [1]]",-0.3627753664696349
"[[0], [0, 1], [1, 1, 0], [0, 1, 1, 1], [1, 1, 1], [1, 1], [1]]",-0.31447880315292837
"[[0], [0, 1], [0, 0, 1], [0, 1, 1, 1], [1, 1, 1], [1, 1], [1]]",-0.0989543950989291
"[[0], [0, 1], [0, 0, 1], [1, 1, 1, 1], [0, 1, 1], [0, 1], [1]]",-0.09949327887699001
"[[1], [0, 0], [0, 0, 0], [1, 1, 1, 1], [0, 1, 1], [0, 1], [1]]",-0.10548087641100001
"[[1], [0, 0], [0, 0, 0], [1, 1, 0, 1], [0, 0, 1], [1, 1], [1]]",-5.955461911788275
"[[1], [0, 0], [0, 1, 0], [0, 0, 0, 1], [0, 0, 0], [1, 1], [1]]",-9.01137494619
"[[1], [0, 0], [0, 1, 0], [0, 0, 0, 1], [0, 0, 1], [1, 0], [0]]",-9.099916323300002
"[[1], [0, 0], [0, 1, 0], [0, 0, 0, 0], [0, 0, 0], [1, 1], [0]]",-9.999999999989999
"[[0], [1, 1], [1, 1, 1], [1, 1, 1, 1], [1, 1, 0], [1, 1], [1]]",1.7960524111619007
"[[1], [0, 1], [0, 1, 1], [1, 1, 1, 1], [1, 1, 0], [1, 1], [1]]",-0.8667491570638651
"[[1], [0, 1], [0, 1, 1], [1, 1, 1, 1], [0, 0, 1], [1, 1], [1]]",-0.4859932111856674
"[[1], [0, 1], [1, 0, 0], [1, 1, 1, 1], [0, 0, 1], [1, 1], [1]]",-0.1496187615376868
"[[0], [0, 0], [1, 0, 1], [1, 1, 1, 1], [0, 0, 1], [1, 1], [1]]",-0.39817038683621075
"[[0], [0, 0], [0, 0, 1], [1, 0, 1, 1], [0, 1, 1], [1, 1], [1]]",0.4214095027909663
"[[0], [0, 0], [0, 0, 1], [1, 0, 1, 1], [1, 1, 1], [0, 1], [0]]",-0.1813736628
"[[0], [0, 0], [0, 0, 1], [0, 0, 1, 1], [0, 1, 1], [1, 1], [0]]",-0.10943360999999999
"[[0], [0, 0], [0, 0, 1], [0, 1, 0, 0], [0, 1, 1], [1, 1], [0]]",5.495390000000001
"[[0], [0, 0], [1, 0, 1], [0, 0, 0, 0], [0, 0, 1], [1, 1], [0]]",-0.171
"[[0], [0, 0], [1, 0, 1], [0, 0, 0, 0], [0, 0, 0], [1, 0], [1]]",-9.099172629081
"[[0], [0, 0], [1, 0, 1], [0, 0, 0, 0], [1, 0, 0], [0, 0], [0]]",-9.9999999999
"[[1], [1, 1], [1, 1, 1], [0, 1, 1, 1], [1, 1, 1], [1, 0], [1]]",1.7960524111619007
"[[1], [0, 1], [0, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 0], [1]]",2.1067249012910008
"[[1], [0, 1], [1, 0, 0], [1, 1, 1, 1], [1, 1, 1], [1, 0], [1]]",-0.12599747472707565
"[[1], [0, 1], [1, 0, 1], [1, 1, 0, 1], [1, 0, 1], [1, 0], [1]]",-0.1493691378308167
