Policy,Eligibility
"[[0], [1, 0], [0, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 1, 0, 0], [0, 0, 0], [0, 1], [1]]10,0,8,2",-10.078721359452679
"[[0], [1, 0], [0, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 1, 0, 0], [0, 0, 1], [0, 0], [0]]6,2,8,0",-10.022243347876847
"[[0], [1, 0], [0, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0], [1, 0, 1], [0, 0], [0]]2,2,4,4",-10.024775413474917
"[[0], [1, 0], [0, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0], [1, 0, 1], [0, 0], [0]]None",-9.990146852419317
"[[1], [1, 1], [1, 1, 1], [1, 0, 0, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]1,1,3,1",-167.867716846106
"[[1], [1, 0], [1, 0, 1], [1, 1, 0, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]3,3,1,1",-31.4577762650296
"[[1], [1, 1], [1, 0, 0], [1, 1, 0, 0], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]0,0,2,2",-10.396553095005626
"[[0], [1, 0], [1, 0, 1], [1, 1, 0, 0], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]2,0,0,0",-10.466123302645348
"[[1], [0, 0], [0, 0, 1], [1, 1, 0, 0], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]3,0,3,2",-10.500600938519979
"[[1], [0, 0], [0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]4,3,2,1",-10.470935052397305
"[[1], [0, 0], [0, 1, 1], [0, 0, 0, 0], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]4,1,4,3",-10.462622845401071
"[[1], [0, 0], [0, 1, 1], [0, 0, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]2,2,2,0",-10.411938785132401
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]6,1,4,2",-10.333641549140745
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [1, 0, 1, 1, 1], [1, 1, 0, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]4,0,6,1",-10.320377109893226
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 1, 1, 1], [1, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]4,3,4,1",-10.310241398892783
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 1], [1, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,4,5,2",-10.316790648978644
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]7,2,5,4",-10.268588326333994
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1], [1, 1, 1], [1, 1], [1]]7,1,5,1",-10.23678130231581
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 1], [1, 0, 1, 0, 1], [1, 0, 0, 1], [1, 1, 1], [1, 1], [1]]9,1,7,1",-10.270892203027346
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 0, 1], [1, 0, 1], [1, 0], [1]]4,4,6,3",-10.235645428111933
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 0, 1, 1, 1], [1, 1, 0, 1], [1, 0, 1], [1, 0], [1]]5,2,7,2",-10.253170937821919
